user_id,Action,Adventure,Animation & Modeling,Audio Production,Casual,Design & Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
09106,85.93,85.93,,,173.51,,,,87.58,173.51,,85.93,,,,,,,,
091263,30.98,8.23,,,0.7,,,,,9.86,,2.75,,,,,,,,
095732,,,,,0.55,,,,0.55,,0.55,0.55,,,,,,,,
09876543231,95.8,,,,,,,,,,,,,,,,,,,
098766catdogbnmnnn,1278.5500000000002,,,,,,,,1140.9,,,,,,,,,,,
10000000thVisitor,,,,,39.27,,,,,,,,,39.27,,,,,,
1001101001110101,9.88,,,,,,,,,9.88,9.88,9.88,,9.88,,,,,,
10051997,1026.68,834.58,,,,,833.08,,,834.58,833.08,834.58,,,,,,,,
101010101111,,,,,,,,,,48.6,,,,48.6,,,,,,
1011001,711.84,,,,,,99.7,,,114.27,99.7,,,,,,3.55,,,
102598615,256.2,256.2,,,256.2,,,,256.2,256.2,,,,,,,,,,
10936543792,20.61,,,,16.63,,,,20.61,3.98,3.98,3.98,,3.98,,,,,,
10Degree,428.88,99.23,,,3.32,,,,,340.37,,99.23,3.32,212.55,,25.27,,,,
111190869,54.53,,,,,,,,,54.53,,,,,,,54.53,,,
111222333444555666888,30.049999999999997,12.37,,,,,12.37,,,12.37,,,,12.37,,,,,,
111zerosen,259.97,259.97,,,,,,,,259.97,,259.97,,,,,,,,
1122305938,54.47,24.42,,,24.42,,,,,24.42,,24.42,,,,,,,,
113595,7.3,7.3,,,7.3,,,,,7.3,,,,,,,,,,
11567jj,17.4,,,,,,,,17.4,,,,,,,,,,,
117arbiter,626.1700000000001,,,,,,,,7.1,1.88,7.1,626.1700000000001,,1.88,,,,,,
119922883377446655123456789,75.08,75.08,,,,,,,,,,,,,,,,,,
11XGX,29.62,,,,,,,,6.52,29.62,,,,,,,,,,
120488700,,,,,,,,,,421.4,,,,421.4,,,,,,
1212343456567878909,571.33,,,,,,,,,,,,,,,,,,,
12125,54.269999999999996,16.27,,,,,,,38.0,54.269999999999996,,,,,,,,,,
123123123131231231,65.47,,,,,,,,,,,,,,,,,,,
12312312332123,1011.63,997.03,,,,,997.03,,14.6,1011.63,14.6,1011.63,,1011.63,,,997.03,,,
123232343432555686888554456555,10.45,,,,,,,,,10.45,,,,,,,,,,
12345676543456789098543,,,,,,,,,747.12,60.67,747.12,747.12,,60.67,,,60.67,,,
1234567810132,335.3,,,,,,,,335.3,335.3,335.3,335.3,,,,,,,,
12345678901234567890123456567890,362.2,47.05,,,3.37,,,,47.05,1208.9699999999998,,339.22999999999996,,1110.9199999999998,,47.05,117.65,,,
1234567890192837465,238.75,,,,,,,,,238.75,,,150.97,,,,,,,
12345678910a,1770.68,,,,,,,,,,,,,,,,,,,
123456789874561232145678,20.42,20.42,,,,,,,,,,,,,,,,,,
123456789diamond987654321,,,,,,,,,,70.98,,,,70.98,,,,,,
1234567io9872345678765432,1302.5,143.53,,,143.53,,101.67,,146.3,246.0,104.44,,,242.63,,,243.43,,,
1234865654,92.97,,,,,,,,,,,92.97,,,,,,,,
12391939123,,,,,,,,,,127.65,,,,127.65,,,,,,
123joshua321,,,,,,,,,,4.92,,,,,,,,,,
123repulseMe,59.94,3.97,,,,,,,,,,55.97,,,,,,,,
12536475869trhgsdf,260.01,255.28,,,62.75,,,,260.01,197.26,255.28,255.28,,,,,,,,
12779,19.52,8.32,,,8.32,,,,11.2,19.52,11.2,43.7,,,,,,,,
129874182,,,,,11.45,,,,,11.45,,171.6,,11.45,,,,,,
12DeAgostoAs12HRSe26MIN,32.43,,,,,,,,32.43,,,,,,,,,,,
12das,28.55,28.55,,,28.55,,,,28.55,28.55,,,,,,,,,,
1300655506nigga,4.92,,,,,,,,,4.92,,,,4.92,,,,,,
131312,345.13,,,,,,,,73.48,274.18,73.48,271.65,,304.17999999999995,,,540.65,,,
131467132,1017.0,,,,,,,,,1017.0,,,,,,,,,,
1321742413,15.83,15.83,,,,,,,,,,,,,,,,,,
1337666133766613376661337,13.03,,,,,,,,13.03,13.03,,,,,,,,,,
1337_K_REW,1226.25,,,,,,,,,,,,,,,,,,,
1337lolroflmao,314.5,233.63,,,,,,,,3.62,,,,41.64,,,38.02,,,
1337putin,1158.62,,,,,,,,,,,46.1,,,,,,,,
1343534566,317.11,294.13,,,,,,,294.13,294.13,294.13,294.13,,,,,,,,
13457856281,16.97,,,,,,,,,16.97,,,,,,,,,,
135781,920.14,243.91,,,,,,,,,,34.22,,,,,,,,
13971397,63.67,3.02,,,,,,,3.02,3.02,,60.65,,,,,,,,
13lazer,58.43,,,,,,,,,,,,,58.43,,,58.43,,,
14372193,5.43,,,,,,,,5.43,,,,,,,,,,,
1440454,1.8,1.8,,,,,,,,,,,,,,,,,,
1452221660414,176.43,150.58,,,,,150.58,,,150.58,150.58,150.58,,,,,,,,
1457184935981,298.57,,,,,,,,298.57,298.57,298.57,298.57,,,,,,,,
154352,152.75,,,,20.02,,,,0.43,20.02,,,,20.02,,,0.43,,,
1546328127418,240.1,,,,,,240.1,,,240.1,240.1,,,,,,,,,
154930493,368.73,368.73,,,,,,,,368.73,368.73,368.73,,,,,,,,
15511551,420.29,,,,,,,,,9.600000000000001,,1.37,,,,,,,,
157645,,,,,,,,,,30.72,,,,30.72,,,,,,
15832789427,,,,,,,,,,,,,,,,,91.97,,,
15934,227.55,35.0,,,35.0,,,,174.88,60.629999999999995,,17.67,,,,,,,,
159zse159,,45.67,,,,,,,,45.67,,45.67,,,,,,,,
1626466724893520,1075.35,39.33,,,,,,,939.9200000000001,33.7,,,,,,,36.12,,,
16538,44.23,52.78,,,,,,,,,,,,,,,,,,
169420666,8.58,,,,,,,,8.58,8.58,8.58,8.58,,8.58,,,,,,
17101710,29.79,28.119999999999997,,,,,,,,,,,,,,,,,,
171516,24.94,10.22,,,14.200000000000001,,,,24.94,58.81999999999999,,46.0,,3.98,,,,,,
1739902091026,151.12,151.12,,,151.12,,,,151.12,151.12,,,,,,,,,,
174gamecuman700kngkakak,998.8,10.5,,,,,,,,0.73,,,,,,,0.73,,,
17829463213,134.05,134.05,,,134.05,,,,134.05,134.05,,,,,,,,,,
1800-Ricohut,74.42,66.39,,,6.76,,,,1.68,6.76,,,,1.68,,,5.08,,,
18082001,515.5,,,,,,,,,74.55,,,,74.55,,,,,,
18228272828,,,,,,,,,,497.23,,,,497.23,,,,,,
18481,,,,,149.08,,,,149.08,149.08,,,,,,,,,,
1873410337,1553.9,172.3,,,,,172.3,,206.91,197.93,390.21000000000004,390.21000000000004,,25.630000000000003,,,,,,
187625,17.13,17.13,,,0.8,,0.8,,0.8,0.8,,,,,,,,,,
19-20-5-20-27-5-18,376.88,,,,,,,,376.88,,,,,,,,,,,
1920410,3.47,,,,,,,,,3.47,,,,,,,,,,
1922001,17.87,,,,,,,,17.87,17.87,,,,,,,,,,
194847383,367.89,334.03999999999996,,,,,,,0.52,334.03999999999996,,333.52,,,,,,,,
1956aa1,5.57,5.57,,,,,,,,,,,,,,,953.37,,,
195862,799.65,,,,,,,,,,,,,,,,,,,
1MLG2U,137.72000000000003,34.1,,,,,,,,34.1,,32.02,,,,,,,,
1R1M1,64.13,57.88,,,70.71000000000001,,,,57.88,57.88,,,,,,12.83,,,,
1epicninja,3019.3199999999997,306.57,,,,,,,,,,,,326.9,,,326.9,,,
1iam1iam1iam,252.07,206.92,,,,,,,,,,,,,,,,,,
1jamesn4,14.62,,,,,,,,,,,,,,,,,,,
1silentsniper1,,,,,,,,,,21.93,,,,21.93,,,21.93,,,
1snap,90.4,19.42,,,,,19.42,,61.3,674.16,,1.7,1.65,658.6999999999999,,1.65,,,,
1stBLUE-COW,84.23,,,,,,,,,,,,,,,,,,,
1v1meguy,271.07,,,,,,,,,,,,,,,,,,,
200220006,112.2,,,,,,,,112.2,,112.2,,,,,,,,,
20041213,106.7,106.7,,,106.7,,,,106.7,106.7,,,,,,,,,,
2011368123,,8.27,,,,,,,,8.27,,8.27,,,,,,,,
2080308,,,,,,,,,,363.2,,,,363.2,,,,,,
2092000666,,,,,0.68,,,,,13.13,,,,,,0.68,,,,
210519992016,7.75,7.55,,,,,,,7.55,,7.55,7.55,,,,,,,,
2222455,14.38,,,,,,,,,,,,,,,,,,,
225544,,,,,6.02,,,,,674.09,,,,668.07,,,,,,
225555,1373.9,,,,,,,,,,,,,,,,,,,
23012003,131.6,,,,,,,,,,,,,,,,,,,
231091,105.87,105.87,,,,,,,,,,,,,,,,,,
231321455,12.88,,,,,,,,,,,,,,,,,,,
23184798,303.98,,,,,,,,,,,,,,,,,,,
23434454365463446754546576e45646,92.2,,,,,,,,92.2,92.2,,,,,,,,,,
235269,,,,,,,,,,38.5,,,,,,,38.5,,,
2364786499,177.97,,,,,,,,,,,,,,,,,,,
23745736,22.55,7.28,,,,,7.28,,15.27,22.55,22.55,22.55,,15.27,,,,,,
2390746539217,119.98,119.98,,,,,,,,119.98,,119.98,,,,,,,,
23974656456,5.88,5.88,,,,,,,,5.88,,,5.88,5.88,,,,,,
23Batman05,113.02,,,,,,,,82.6,12.87,,,,12.87,,,,,,
24453,103.87,103.87,,,1.08,,,,,1.08,,,,1.08,,,,,,
24596,825.5,,,,,,,,,,,,,,,,,,,
246823,164.0,,,,,,,,164.0,164.0,164.0,164.0,,164.0,,,,,,
247211,65.75,65.75,,,,,,,,,,15.03,,,,,,,,
249758,,,,,,,,,,285.57,,,,285.57,,,,,,
2571,187.01,1.1,,,,,183.78,,,191.78,183.78,,,4.62,,,6.9,,,
25_Years_Since_Freddie,229.87,193.2,,,,,34.58,,,44.08,34.58,34.58,,,,,,,,
2608739,239.53,,,,,,,,,,,,,,,,,,,
2647891,6.27,6.27,,,,,,,,,,,,,,,,,,
27073108,1440.98,,,,,,274.05,,,274.05,274.05,,,,,,,,,
27601MCM,5.05,,,,,,,,,5.05,,,,,,,,,,
2768820078,636.6999999999999,255.54999999999998,,,,,188.12,,,188.12,,420.33,,188.12,,,296.92,,,
279519365,1414.95,,,,,,,,,,,,,,,,,,,
2891723967123,190.15,61.82,,,,,,,,13.7,,114.63,,114.63,,,13.7,,,
291129112911291129112911,5.22,,,,,,,,,,,,,,,,,,,
29123,1230.53,,,,,,,,1230.53,1053.7,,,,,,1053.7,1053.7,,,
29998000,5.42,5.42,,,,,,,,,,,,,,,,,,
2Chill,78.42,58.79,,,44.72,,,,,78.42,,44.72,,,,19.63,,,,
2Degrees,,,,,,,,,,,,,,,,,34.95,,,
2JZEEEEBABY,2.98,,,,,,,,,,,,,,,,,,,
2Ta4,,,,,,,,,,1.0,,,,,,,,,,
2ZESTY4ME,21.67,,,,,,,,21.67,,21.67,,,,,,,,,
2d4nk4m3,0.47,0.47,,,0.47,,,,124.47,0.47,124.47,,,,,,124.0,,,
2edgy4youboi,18.27,,,,,,,,,201.10999999999999,,,,182.84,,,59.040000000000006,,,
2ez2xl,939.4,,,,,,,,,,,,,,,,,,,
2ik4tf,31.03,31.03,,,,,,,,31.03,,31.03,,,,,,,,
2lstgun,16.18,,,,,,,,,,,16.18,,,,,,,,
2nerdssemvida,47.51,47.51,,,47.51,,,,46.08,47.51,,,,1.43,,,1.43,,,
2pacisaliveincuba,1240.7,,,,,,,,,,,,,,,,,,,
2sBs,1658.36,152.08,,,3.22,,14.63,,,269.67,14.63,,,255.04,,,,,,
2sneaky5u,,,,,,,,,,3.68,,,,3.68,,,3.68,,,
2spooky,188.7,3.28,,,3.28,,,,,25.75,,211.48,,,,,41.97,,,
2v1meyoucheekyscrub,285.37,,,,,,,,,,,,,,,,,,,
2xDelorean,33.05,,,,,,,,33.05,51.58,33.05,33.05,,18.53,,,18.53,,,
30102002,137.22,,,,,,,,,,,,,,,,,,,
3021Daniel,2790.33,,,,,,,,,,,,,,,,,,,
3046123,,,,,,,,,,1334.92,,,,1334.92,,,,,,
317984739321,1166.06,,,,,,,,,73.48,,,73.48,,,73.48,,,,
3197,31.08,14.18,,,3.45,,,,18.78,29.51,,26.060000000000002,,,,,,,,
320RustPro,296.52,,,,,,,,,,,,,,,,,,,
329838102,,,,,0.47,,,,2.09,0.47,1.62,,,1.62,,1.62,,,,
33334scat,41.07,41.07,,,,,,,,,,,,,,,,,,
334756875,173.98,173.98,,,0.97,,,,0.97,174.95,0.97,169.35,,5.6,,,5.6,,,
3423523425433425,32.6,,,,,,,,32.6,,,,,,,,,,,
343221221,62.83,,,,,,,,,,,,,,,,,,,
34324132,,3.93,,,,,,,,3.93,,,,3.93,,,,,,
345675,173.70000000000002,,,,,,,,3.32,51.09,,19.48,,47.77,,,,,,
3523436346,917.4300000000001,,,,,,,,,,,0.1,,,,,,,,
35475,1.1,7.029999999999999,,,,,,,,1.1,,,,,,,1.1,,,
3548548564856498484894,30.14,33.37,,,,,,,,33.37,,27.32,,,,,,,,
3565Jason,214.33,,,,,,,,,,,,,,,,,,,
36864,,,,,,,,,,,,,,,,,253.77,,,
369231461278416,19.62,19.62,,,,,,,19.62,19.62,19.62,19.62,,,,,,,,
36_T,470.85,28.549999999999997,,,,,3.03,,8.58,8.58,,26.83,,3.03,,3.03,,,,
373848099,144.1,,,,,,,,,,144.1,,,144.1,,,,,,
37755753,852.67,26.520000000000003,,,15.3,,,,,26.520000000000003,,15.3,,,,,,,,
381644,12.88,12.88,,,,,,,,,,,,,,,,,,
391204566,18.18,,,,,,,,,18.18,,,,,,,18.18,,,
3Ldota,33.3,1.22,,,,,,,,33.3,,33.3,,,,,,,,
3dster,5.87,,,,,,,,,,,,,,,,,,,
3eBpA,11.62,11.62,,,,,,,,11.62,,,,11.62,,,,,,
3teGZ_Rorschach,1851.75,109.13,,,,,,,,,,1742.62,,,,,924.59,,,
3th3,14.6,,,,2.38,,1.75,,4.13,4.13,,,,,,,,,,
3xotic26,351.53,,,,,,,,,,,38.65,,,,,,,,
402553929,2186.65,,,,,,,,,,,,,,,,,,,
4043RROR,19.48,,,,,,,,,,,,,,,,,,,
404ok4561687987879847,1906.17,,,,,,,,,,,,,,,,,,,
41781029,1.27,,,,,,,,1.27,1.27,,,,,,,,,,
4200769711,1428.97,,,,,,,,,,,,,,,,,,,
420BlazeItMLG,361.5,,,,,,,,,,,,,,,,,,,
420Blz,374.05,,,,,,,,,,,,,374.05,,,374.05,,,
420DankMasterKush420,132.08,,,,,,,,,134.65,,,,,,,,,,
420NigelGaming420,17.53,17.53,,,,,,,,17.53,,,,,,,,,,
420_Blaze_It_Fgt,14.6,14.6,,,14.6,,,,14.6,14.6,,,,,,,,,,
420cheekycunt,924.42,,,,,,,,,,,,,,,,,,,
420fedora,609.86,174.7,,,,,602.63,,,2122.88,602.63,174.7,,1520.02,,,,,,
420slender,488.08,,,,,,,,,,,,,,,,,,,
4234213234124,465.85,,,,,,,,,,,,,,,,,,,
42456,39.050000000000004,,,,,,,,,51.2,,,,42.82,,,8.38,,,
42654264,1192.25,,,,,,,,,,,,,,,,,,,
4321louis,6.07,6.07,,,,,,,6.07,6.07,,,,,,,,,,
434238948,71.07,57.37,,,51.47,,,,51.47,548.87,,13.92,23.23,491.5,,,,,,
434546464,289.8,,,,,,123.08,,,123.08,123.08,137.3,,29.42,,,29.42,,,
44196,71.19,47.71,,,40.53,,,,,50.760000000000005,,40.53,,10.23,,,,,,
4432XABLAU,2.45,,,,,,,,2.45,2.45,,,,,,,,,,
4545451111,96.53,,,,,,,,96.53,,,,,,,,,,,
45514551,94.9,134.28,,,94.9,,,,94.9,94.9,,39.38,,,,,,,,
45544554455445,,,,,,,,,,20.52,,,,,,,20.52,,,
45826755958,,,,,,,,,,1430.65,,,,1430.65,,,,,,
46366536564574576346346546,92.27,,,,,,,,92.27,92.27,92.27,92.27,,92.27,,,,,,
4801,3404.67,64.92,,,,,64.92,,,64.92,64.92,64.92,,,,,,,,
48226746,1217.02,6.53,,,,,,,,6.53,,,,,,,342.02,,,
486259317,9.84,9.84,,,,,,,4.67,133.01999999999998,,,,103.8,,,,,,
4RCH4NG3Ll,3.9000000000000004,3.45,,,0.45,,,,,462.16999999999996,,,,461.71999999999997,,,,,,
4_5C12U13,144.22,13.52,,,6.5,,4.32,,,756.39,,2.13,,889.22,,,144.22,,,
4i20swagyolo69,112.28,103.95,,,,,,,,592.0500000000001,,103.95,,488.1,,,,,,
4mrtm,1.27,1.27,,,,,1.27,,,1.27,,,,1.27,,,,,,
4nti-y0u,14.32,37.2,,,,,,,,37.2,,14.32,,37.2,,,,,,
51041,330.0,,,,,,,,,,,,,,,,,,,
51134243,144.28,12.780000000000001,,,,,,,,0.8,,,,,,,,,,
512356,315.75,,,,,,,,,181.55,,,,181.55,,,,,,
51centcorn,17.75,,,,,,,,17.75,12.95,,10.2,,2.75,,0.37,88.63999999999999,,,
51jets,776.55,,,,,,,,,,,,,,,,,,,
527788235,209.68,122.6,,,,,12.77,,6.48,19.25,,,,12.77,,,6.48,,,
53112195114,,,,,,,,,,23.67,,,,23.67,,,,,,
5343039,15.63,15.63,,,,,15.63,,,15.63,,,,,,,,,,
535346456636,27.34,24.52,,,24.52,,,,24.52,24.52,,,,,,,,,,
5400540054005400,1970.25,,,,,,,,1970.25,,1970.25,99.17,,,,,190.45,,,
54263144,557.97,,,,,,,,9.85,,,,,,,,,,,
544183980,2.13,2.13,,,,,,,,2.13,,,,,,,,,,
54546545,64.65,64.65,,,,,64.65,,,64.65,64.65,64.65,,,,,,,,
54678907652,116.35,115.39999999999999,,,0.22,,109.9,,64.87,121.82000000000001,150.95,86.08,,34.57,,1.17,88.91000000000001,,,
548547248072804,117.83,106.71,,,,,,,,,,,,,,,,,,
54Strat,523.17,166.67,,,,,208.6,,,208.6,208.6,166.67,,314.57,,,314.57,,,
55432147,50.08,,,,,,,,17.3,,,32.78,,,,,,,,
558092,,10.45,,,,,,,,10.45,,,,,,,,,,
5678LetMeCyaBootyShake,5.73,,,,,,,,5.73,2.97,5.73,2.97,,,,,,,,
58254410,720.08,,,,,,,,,736.6,,,,736.6,,,,,,
5856565456564,497.67,,,,,,,,,3690.77,,,,3690.77,,,,,,
58981044,402.55,,,,,,,,,,,,,,,,,,,
5975,,,,,7.38,,,,,7.38,,,,7.38,,,,,,
5spooky420me,355.78000000000003,,,,,,,,285.73,,,70.05,,,,,,,,
5yearoldrexrex111,10.93,,,,,,,,,,,,,,,,,,,
60324133769,552.83,42.73,,,42.73,,,,,45.18,,42.73,,,,,,,,
61241571,864.85,,,,,,,,,,,,,,,,,,,
616333,207.04,196.62,,,196.62,,,,207.04,196.62,,,,,,,,,,
6294421419,21.32,,,,,,,,21.32,21.32,,,,,,,,,,
63718432421321321312,596.61,,,,,,,,41.08,,30.68,,,,,,,,,
63Hayden,172.28,32.05,,,44.42,,,,56.2,44.42,,83.45,,,,,,,,
6435677448,,,,,37.77,,,,,37.77,,,,37.77,,,,,,
64512328,1685.0,132.78,,,,,,,11.02,132.78,132.78,132.78,,1541.2,,,1541.2,,,
64574574574744,1211.8,27.93,,,,,,,,39.45,,27.93,,,,,,,,
64723864,157.97,,,,,,,,157.97,157.97,,,,,,,,,,
657475591245,1049.52,,,,,,,,,,,,,,,,,,,
6592,,,,,,,,,,134.28,,,,,,,134.28,,,
66083299,1586.82,255.85,,,,,,,255.85,,255.85,255.85,,,,,,,,
66666669999999,0.87,,,,,,0.87,,0.87,,,,,,,,,,,
666slayerr666,,,,,,,,,,225.08,,,,225.08,,,,,,
66839427,,3.72,,,,,,,,3.72,,,,,,,,,,
66d,12.09,,,,,,7.87,,,7.87,7.87,,,,,,,,,
6738497298564377854673421,1380.23,,,,,,,,,,,,,,,,,,,
678rtv45,1007.5500000000001,17.82,,,2.82,,,,,1.97,,13.03,,,,,,,,
69133709,32.83,32.83,,,32.83,,,,32.83,32.83,,,,,,,,,,
6935,183.6,129.45,,,,,,,,183.6,,248.45,,,,,45.17,,,
694201337694201337,728.1,,,,,,,,,257.0,,,,257.0,,,,,,
69bmw,5.9,,,,,,,,5.9,,,,,,,,,,,
69madman,,,,,3.05,,,,,,,,,,,3.05,,,,
6dighero,34.3,,,,,,,,,,,34.3,,,,,23.55,,,
6ex6ex6ex,37.57,,,,,,,,,,,,,,,,,,,
711armageddoncarmageddon,57.61,12.729999999999999,,,1.45,,,,,12.729999999999999,,11.28,,,,,1.45,,,
71251241,257.67999999999995,171.92,,,,,171.92,,76.33,1234.77,219.42,171.92,,987.4,,,,,,
723943123,628.51,35.4,,,,,229.13,,66.77,229.13,229.13,86.83,,210.38,,,210.38,,,
72947282842,0.55,,,,,,,,,,,,,,,,,,,
737911,200.08,,,,1.88,,,,200.08,200.08,,,1.88,,,,200.08,,,
739567275,6.12,,,,,,,,,6.12,,,,,,,,,,
748237482374284792,2.1,2.1,,,,,,,,,,,,,,,,,,
74987000,478.13,398.12,,,1.5999999999999999,,,,,398.2,,394.45,,0.15,,,0.15,,,
7515953,28.02,10.07,,,,,,,2.92,2.92,2.92,17.95,,2.92,,,,,,
75791513,31.02,31.02,,,0.83,,,,21.82,22.65,21.82,21.82,,0.83,,,,,,
75k12,39.24,29.39,,,,,,,,,,,,,,,,,,
76561197960288186,,11.42,,,,,,,,,,,,,,,,,,
76561197960438497,1976.83,,,,,,,,,,,,,,,,,,,
76561197960467275,1880.8300000000002,23.4,,,23.4,,,,1880.8300000000002,23.4,,,,,,,,,,
76561197960608571,181.15,,,,,,,,181.15,,,,,,,,,,,
76561197960743001,446.65,,,,,,,,,,,,,,,,,,,
76561197961124706,,,,,,,,,,18.77,,18.77,,,,,18.77,,,
76561197961464265,,41.68,,,,,,,,,,,,,,,,,,
76561197961718947,,,,,,,,,,,,,,122.58000000000001,,77.45,45.13,,,
76561197962025274,,,,,,,,,,0.92,,,,0.92,,,0.92,,,
76561197963392788,1851.23,,,,,,,,,1851.23,,,,,,,1851.23,,,
76561197963436918,2.57,,,,2.57,,2.57,,,2.57,,,,,,,,,,
76561197963455626,15.8,15.8,,,,,,,,,,,,,,,0.88,,,
76561197963469414,89.91,89.91,,,,,,,,9.43,,,,,,,,,,
76561197963759246,26.88,,,,,,,,,,,,,,,,,,,
76561197964316999,53.6,,,,,,53.6,,,53.6,53.6,,,,,,,,,
76561197964317648,22.39,10.82,,,,,,,,,,,,,,,,,,
76561197964402427,,49.88,,,,,,,,49.88,,,,,,,,,,
76561197964753680,56.2,4.53,,,4.53,,,,33.92,4.53,,,,,,,,,,
76561197964876290,0.08,,,,,,,,,,,,,,,,,,,
76561197965059579,508.05,,,,,,,,508.05,,,,,,,,,,,
76561197965144435,,10.22,,,,,,,,10.22,,10.22,,,,,10.22,,,
76561197965205416,1200.65,,,,,,,,,3.88,,,,,,,,,,
76561197965208032,,2.3,,,0.33,,,,,2.3,,,,1.97,,,,,,
76561197965224231,957.0,,,,,,,,,,,,,,,,,,,
76561197966298550,,1.48,,,,,,,,1.48,,,,,,,,,,
76561197966587792,6.28,,,,,,,,,,,,,,,,,,,
76561197966590415,2.35,,,,,,,,,2.35,,,,,,,,,,
76561197966604253,4.43,4.43,,,,,,,,4.43,,,,,,,,,,
76561197966647905,11.15,,,,,,,,,,,,,,,,,,,
76561197966764681,5.65,,,,,,,,,,,,,,,,,,,
76561197966979423,,,,,,,,,,199.22,,,,199.22,,,199.22,,,
76561197967253452,5.57,5.57,,,,,5.57,,,,,,,5.57,,,,,,
76561197968167449,142.98,,,,,,,,,1172.1100000000001,,51.92,,1163.68,,,,,,
76561197968205306,224.2,,,,,,,,,,,224.2,,,,,,,,
76561197968305777,19.0,19.0,,,,,,,,19.0,,19.0,,,,,,,,
76561197968515654,4.08,,,,,,,,4.08,,4.08,,,,,,4.08,,,
76561197968819806,,0.8,,,0.8,,,,,0.8,,,,,,,,,,
76561197968887720,,,,,,,,,,6.1,,6.1,,,,,6.1,,,
76561197969020980,324.13,41.47,,,,,31.33,,,83.80000000000001,31.33,237.31,,,,,,,,
76561197969314107,1626.18,40.54,,,,,,,,9.969999999999999,,1247.9,,,,,5.27,,,
76561197969434273,2.5,9.5,,,8.08,,,,,28.0,,,,29.08,,,21.0,,,
76561197969599867,225.67,,,,,,,,,,,,,,,,,,,
76561197969663913,101.78,101.78,,,,,,,101.78,,101.78,101.78,,,,,,,,
76561197969800840,23.2,,,,,,,,,23.2,,,,,,,23.2,,,
76561197969868617,,,,,,,,,,,,251.2,,251.2,,,251.2,,,
76561197970097668,34.03,,,,,,,,,,,,,,,,,,,
76561197970148466,51.2,51.2,,,,,,,,,,,,,,,,,,
76561197970317038,86.48,,,,,,8.08,,,8.08,8.08,,,62.27,,,62.27,,,
76561197970528598,1141.32,1141.32,,,,,,,,1141.32,,1141.32,,,,,,,,
76561197970542592,17.09,12.88,,,,,,,,10.22,,,,,,,,,,
76561197970551076,,38.23,,,,,,,,38.23,,,,,,,,,,
76561197970565267,49.46,10.43,,,,,28.6,,,39.03,28.6,10.43,,,,,,,,
76561197970580235,,,,,,,,,,4.68,,4.68,,,,,4.68,,,
76561197970723780,,5.03,,,,,,,,5.03,,5.03,,,,,,,,
76561197970724420,25.35,7.6,,,,,,,,7.6,,,,,,,17.75,,,
